,Year,County,Income Poverty Ratio Category,Not Insured
1264,2012,Loudon,All Incomes,6291
1265,2012,Loudon,<= 200% of Poverty,4096
1266,2012,Loudon,<= 250% of Poverty,4740
1267,2012,Loudon,<= 138% of Poverty,2871
1268,2012,Loudon,<= 400% of Poverty,5765
1269,2012,Loudon,138% to 400% of Poverty,2894
1270,2012,McMinn,All Incomes,7338
1271,2012,McMinn,<= 200% of Poverty,4895
1272,2012,McMinn,<= 250% of Poverty,5649
1273,2012,McMinn,<= 138% of Poverty,3606
1274,2012,McMinn,<= 400% of Poverty,6772
1275,2012,McMinn,138% to 400% of Poverty,3166
1276,2012,McNairy,All Incomes,3544
1277,2012,McNairy,<= 200% of Poverty,2385
1278,2012,McNairy,<= 250% of Poverty,2760
1279,2012,McNairy,<= 138% of Poverty,1724
1280,2012,McNairy,<= 400% of Poverty,3298
1281,2012,McNairy,138% to 400% of Poverty,1574
1282,2012,Macon,All Incomes,3746
1283,2012,Macon,<= 200% of Poverty,2593
1284,2012,Macon,<= 250% of Poverty,2975
1285,2012,Macon,<= 138% of Poverty,1910
1286,2012,Macon,<= 400% of Poverty,3503
1287,2012,Macon,138% to 400% of Poverty,1593
1288,2012,Madison,All Incomes,13369
1289,2012,Madison,<= 200% of Poverty,8740
1290,2012,Madison,<= 250% of Poverty,10048
1291,2012,Madison,<= 138% of Poverty,6242
1292,2012,Madison,<= 400% of Poverty,12160
1293,2012,Madison,138% to 400% of Poverty,5918
1294,2012,Marion,All Incomes,3778
1295,2012,Marion,<= 200% of Poverty,2405
1296,2012,Marion,<= 250% of Poverty,2796
1297,2012,Marion,<= 138% of Poverty,1739
1298,2012,Marion,<= 400% of Poverty,3469
1299,2012,Marion,138% to 400% of Poverty,1730
1300,2012,Marshall,All Incomes,4647
1301,2012,Marshall,<= 200% of Poverty,3058
1302,2012,Marshall,<= 250% of Poverty,3574
1303,2012,Marshall,<= 138% of Poverty,2229
1304,2012,Marshall,<= 400% of Poverty,4296
1305,2012,Marshall,138% to 400% of Poverty,2066
1306,2012,Maury,All Incomes,11023
1307,2012,Maury,<= 200% of Poverty,6844
1308,2012,Maury,<= 250% of Poverty,8087
1309,2012,Maury,<= 138% of Poverty,4894
1310,2012,Maury,<= 400% of Poverty,10016
1311,2012,Maury,138% to 400% of Poverty,5122
1312,2012,Meigs,All Incomes,1596
1313,2012,Meigs,<= 200% of Poverty,1089
1314,2012,Meigs,<= 250% of Poverty,1243
1315,2012,Meigs,<= 138% of Poverty,834
1316,2012,Meigs,<= 400% of Poverty,1475
1317,2012,Meigs,138% to 400% of Poverty,641
1318,2012,Monroe,All Incomes,6820
1319,2012,Monroe,<= 200% of Poverty,4600
1320,2012,Monroe,<= 250% of Poverty,5298
1321,2012,Monroe,<= 138% of Poverty,3365
1322,2012,Monroe,<= 400% of Poverty,6385
1323,2012,Monroe,138% to 400% of Poverty,3020
1324,2012,Montgomery,All Incomes,23940
1325,2012,Montgomery,<= 200% of Poverty,15803
1326,2012,Montgomery,<= 250% of Poverty,18064
1327,2012,Montgomery,<= 138% of Poverty,10862
1328,2012,Montgomery,<= 400% of Poverty,21804
1329,2012,Montgomery,138% to 400% of Poverty,10942
1330,2012,Moore,All Incomes,794
1331,2012,Moore,<= 200% of Poverty,489
1332,2012,Moore,<= 250% of Poverty,574
1333,2012,Moore,<= 138% of Poverty,349
1334,2012,Moore,<= 400% of Poverty,719
1335,2012,Moore,138% to 400% of Poverty,370
1336,2012,Morgan,All Incomes,2706
1337,2012,Morgan,<= 200% of Poverty,1821
1338,2012,Morgan,<= 250% of Poverty,2117
1339,2012,Morgan,<= 138% of Poverty,1344
1340,2012,Morgan,<= 400% of Poverty,2519
1341,2012,Morgan,138% to 400% of Poverty,1175
1342,2012,Obion,All Incomes,4251
1343,2012,Obion,<= 200% of Poverty,2760
1344,2012,Obion,<= 250% of Poverty,3224
1345,2012,Obion,<= 138% of Poverty,2022
1346,2012,Obion,<= 400% of Poverty,3922
1347,2012,Obion,138% to 400% of Poverty,1900
1348,2012,Overton,All Incomes,2986
1349,2012,Overton,<= 200% of Poverty,2029
1350,2012,Overton,<= 250% of Poverty,2341
1351,2012,Overton,<= 138% of Poverty,1500
1352,2012,Overton,<= 400% of Poverty,2802
1353,2012,Overton,138% to 400% of Poverty,1302
1354,2012,Perry,All Incomes,1225
1355,2012,Perry,<= 200% of Poverty,877
1356,2012,Perry,<= 250% of Poverty,988
1357,2012,Perry,<= 138% of Poverty,665
1358,2012,Perry,<= 400% of Poverty,1152
1359,2012,Perry,138% to 400% of Poverty,487
1360,2012,Pickett,All Incomes,723
1361,2012,Pickett,<= 200% of Poverty,505
1362,2012,Pickett,<= 250% of Poverty,574
1363,2012,Pickett,<= 138% of Poverty,358
1364,2012,Pickett,<= 400% of Poverty,670
1365,2012,Pickett,138% to 400% of Poverty,312
1366,2012,Polk,All Incomes,2357
1367,2012,Polk,<= 200% of Poverty,1550
1368,2012,Polk,<= 250% of Poverty,1799
1369,2012,Polk,<= 138% of Poverty,1155
1370,2012,Polk,<= 400% of Poverty,2185
1371,2012,Polk,138% to 400% of Poverty,1030
1372,2012,Putnam,All Incomes,11557
1373,2012,Putnam,<= 200% of Poverty,8231
1374,2012,Putnam,<= 250% of Poverty,9199
1375,2012,Putnam,<= 138% of Poverty,6218
1376,2012,Putnam,<= 400% of Poverty,10816
1377,2012,Putnam,138% to 400% of Poverty,4598
1378,2012,Rhea,All Incomes,4294
1379,2012,Rhea,<= 200% of Poverty,2868
1380,2012,Rhea,<= 250% of Poverty,3288
1381,2012,Rhea,<= 138% of Poverty,2097
1382,2012,Rhea,<= 400% of Poverty,4004
1383,2012,Rhea,138% to 400% of Poverty,1907
1384,2012,Roane,All Incomes,6144
1385,2012,Roane,<= 200% of Poverty,3876
1386,2012,Roane,<= 250% of Poverty,4521
1387,2012,Roane,<= 138% of Poverty,2782
1388,2012,Roane,<= 400% of Poverty,5559
1389,2012,Roane,138% to 400% of Poverty,2777
1390,2012,Robertson,All Incomes,9508
1391,2012,Robertson,<= 200% of Poverty,5751
1392,2012,Robertson,<= 250% of Poverty,6780
1393,2012,Robertson,<= 138% of Poverty,4062
1394,2012,Robertson,<= 400% of Poverty,8555
1395,2012,Robertson,138% to 400% of Poverty,4493
1396,2012,Rutherford,All Incomes,37707
1397,2012,Rutherford,<= 200% of Poverty,23726
1398,2012,Rutherford,<= 250% of Poverty,27754
1399,2012,Rutherford,<= 138% of Poverty,16499
1400,2012,Rutherford,<= 400% of Poverty,33979
1401,2012,Rutherford,138% to 400% of Poverty,17480
1402,2012,Scott,All Incomes,3221
1403,2012,Scott,<= 200% of Poverty,2273
1404,2012,Scott,<= 250% of Poverty,2582
1405,2012,Scott,<= 138% of Poverty,1715
1406,2012,Scott,<= 400% of Poverty,3039
1407,2012,Scott,138% to 400% of Poverty,1324
1408,2012,Sequatchie,All Incomes,2022
1409,2012,Sequatchie,<= 200% of Poverty,1356
1410,2012,Sequatchie,<= 250% of Poverty,1551
1411,2012,Sequatchie,<= 138% of Poverty,1001
1412,2012,Sequatchie,<= 400% of Poverty,1862
1413,2012,Sequatchie,138% to 400% of Poverty,861
1414,2012,Sevier,All Incomes,16871
1415,2012,Sevier,<= 200% of Poverty,11009
1416,2012,Sevier,<= 250% of Poverty,12830
1417,2012,Sevier,<= 138% of Poverty,7651
1418,2012,Sevier,<= 400% of Poverty,15508
1419,2012,Sevier,138% to 400% of Poverty,7857
1420,2012,Shelby,All Incomes,136382
1421,2012,Shelby,<= 200% of Poverty,91470
1422,2012,Shelby,<= 250% of Poverty,103883
1423,2012,Shelby,<= 138% of Poverty,67359
1424,2012,Shelby,<= 400% of Poverty,123861
1425,2012,Shelby,138% to 400% of Poverty,56503
1426,2012,Smith,All Incomes,2494
1427,2012,Smith,<= 200% of Poverty,1561
1428,2012,Smith,<= 250% of Poverty,1832
1429,2012,Smith,<= 138% of Poverty,1141
1430,2012,Smith,<= 400% of Poverty,2280
1431,2012,Smith,138% to 400% of Poverty,1139
1432,2012,Stewart,All Incomes,1726
1433,2012,Stewart,<= 200% of Poverty,1149
1434,2012,Stewart,<= 250% of Poverty,1324
1435,2012,Stewart,<= 138% of Poverty,837
1436,2012,Stewart,<= 400% of Poverty,1566
1437,2012,Stewart,138% to 400% of Poverty,729
1438,2012,Sullivan,All Incomes,19072
1439,2012,Sullivan,<= 200% of Poverty,12401
1440,2012,Sullivan,<= 250% of Poverty,14331
1441,2012,Sullivan,<= 138% of Poverty,9032
1442,2012,Sullivan,<= 400% of Poverty,17475
1443,2012,Sullivan,138% to 400% of Poverty,8443
1444,2012,Sumner,All Incomes,19336
1445,2012,Sumner,<= 200% of Poverty,11148
1446,2012,Sumner,<= 250% of Poverty,13202
1447,2012,Sumner,<= 138% of Poverty,7362
1448,2012,Sumner,<= 400% of Poverty,17038
1449,2012,Sumner,138% to 400% of Poverty,9675
1450,2012,Tipton,All Incomes,7536
1451,2012,Tipton,<= 200% of Poverty,4643
1452,2012,Tipton,<= 250% of Poverty,5468
1453,2012,Tipton,<= 138% of Poverty,3318
1454,2012,Tipton,<= 400% of Poverty,6818
1455,2012,Tipton,138% to 400% of Poverty,3500
1456,2012,Trousdale,All Incomes,1113
1457,2012,Trousdale,<= 200% of Poverty,743
1458,2012,Trousdale,<= 250% of Poverty,850
1459,2012,Trousdale,<= 138% of Poverty,527
1460,2012,Trousdale,<= 400% of Poverty,1018
1461,2012,Trousdale,138% to 400% of Poverty,491
1462,2012,Unicoi,All Incomes,2374
1463,2012,Unicoi,<= 200% of Poverty,1592
1464,2012,Unicoi,<= 250% of Poverty,1816
1465,2012,Unicoi,<= 138% of Poverty,1193
1466,2012,Unicoi,<= 400% of Poverty,2204
1467,2012,Unicoi,138% to 400% of Poverty,1011
1468,2012,Union,All Incomes,2899
1469,2012,Union,<= 200% of Poverty,1983
1470,2012,Union,<= 250% of Poverty,2280
1471,2012,Union,<= 138% of Poverty,1432
1472,2012,Union,<= 400% of Poverty,2703
1473,2012,Union,138% to 400% of Poverty,1271
1474,2012,Van Buren,All Incomes,768
1475,2012,Van Buren,<= 200% of Poverty,550
1476,2012,Van Buren,<= 250% of Poverty,623
1477,2012,Van Buren,<= 138% of Poverty,409
1478,2012,Van Buren,<= 400% of Poverty,721
1479,2012,Van Buren,138% to 400% of Poverty,312
1480,2012,Warren,All Incomes,6548
1481,2012,Warren,<= 200% of Poverty,4439
1482,2012,Warren,<= 250% of Poverty,5121
1483,2012,Warren,<= 138% of Poverty,3224
1484,2012,Warren,<= 400% of Poverty,6089
1485,2012,Warren,138% to 400% of Poverty,2864
1486,2012,Washington,All Incomes,16740
1487,2012,Washington,<= 200% of Poverty,11068
1488,2012,Washington,<= 250% of Poverty,12743
1489,2012,Washington,<= 138% of Poverty,8166
1490,2012,Washington,<= 400% of Poverty,15245
1491,2012,Washington,138% to 400% of Poverty,7079
1492,2012,Wayne,All Incomes,2124
1493,2012,Wayne,<= 200% of Poverty,1487
1494,2012,Wayne,<= 250% of Poverty,1695
1495,2012,Wayne,<= 138% of Poverty,1084
1496,2012,Wayne,<= 400% of Poverty,1992
1497,2012,Wayne,138% to 400% of Poverty,908
1498,2012,Weakley,All Incomes,4240
1499,2012,Weakley,<= 200% of Poverty,2877
1500,2012,Weakley,<= 250% of Poverty,3304
1501,2012,Weakley,<= 138% of Poverty,2080
1502,2012,Weakley,<= 400% of Poverty,3916
1503,2012,Weakley,138% to 400% of Poverty,1836
1504,2012,White,All Incomes,3716
1505,2012,White,<= 200% of Poverty,2547
1506,2012,White,<= 250% of Poverty,2930
1507,2012,White,<= 138% of Poverty,1830
1508,2012,White,<= 400% of Poverty,3474
1509,2012,White,138% to 400% of Poverty,1645
1510,2012,Williamson,All Incomes,13906
1511,2012,Williamson,<= 200% of Poverty,7400
1512,2012,Williamson,<= 250% of Poverty,8871
1513,2012,Williamson,<= 138% of Poverty,4730
1514,2012,Williamson,<= 400% of Poverty,11514
1515,2012,Williamson,138% to 400% of Poverty,6785
1516,2012,Wilson,All Incomes,13090
1517,2012,Wilson,<= 200% of Poverty,7425
1518,2012,Wilson,<= 250% of Poverty,8875
1519,2012,Wilson,<= 138% of Poverty,5031
1520,2012,Wilson,<= 400% of Poverty,11382
1521,2012,Wilson,138% to 400% of Poverty,6351
1522,time,,IPR_DESC,NUI_PT
1523,2013,Anderson,All Incomes,8209
1524,2013,Anderson,<= 200% of Poverty,5295
1525,2013,Anderson,<= 250% of Poverty,6113
1526,2013,Anderson,<= 138% of Poverty,3907
1527,2013,Anderson,<= 400% of Poverty,7475
1528,2013,Anderson,138% to 400% of Poverty,3568
1529,2013,Bedford,All Incomes,8512
1530,2013,Bedford,<= 200% of Poverty,5764
1531,2013,Bedford,<= 250% of Poverty,6605
1532,2013,Bedford,<= 138% of Poverty,4170
1533,2013,Bedford,<= 400% of Poverty,7880
1534,2013,Bedford,138% to 400% of Poverty,3710
1535,2013,Benton,All Incomes,2301
1536,2013,Benton,<= 200% of Poverty,1549
1537,2013,Benton,<= 250% of Poverty,1778
1538,2013,Benton,<= 138% of Poverty,1152
1539,2013,Benton,<= 400% of Poverty,2127
1540,2013,Benton,138% to 400% of Poverty,975
1541,2013,Bledsoe,All Incomes,1992
1542,2013,Bledsoe,<= 200% of Poverty,1378
1543,2013,Bledsoe,<= 250% of Poverty,1596
1544,2013,Bledsoe,<= 138% of Poverty,983
1545,2013,Bledsoe,<= 400% of Poverty,1859
1546,2013,Bledsoe,138% to 400% of Poverty,876
1547,2013,Blount,All Incomes,15031
1548,2013,Blount,<= 200% of Poverty,9387
1549,2013,Blount,<= 250% of Poverty,11004
1550,2013,Blount,<= 138% of Poverty,6500
1551,2013,Blount,<= 400% of Poverty,13584
1552,2013,Blount,138% to 400% of Poverty,7084
1553,2013,Bradley,All Incomes,14887
1554,2013,Bradley,<= 200% of Poverty,9933
1555,2013,Bradley,<= 250% of Poverty,11395
1556,2013,Bradley,<= 138% of Poverty,7000
1557,2013,Bradley,<= 400% of Poverty,13693
1558,2013,Bradley,138% to 400% of Poverty,6693
1559,2013,Campbell,All Incomes,5444
1560,2013,Campbell,<= 200% of Poverty,3664
1561,2013,Campbell,<= 250% of Poverty,4213
1562,2013,Campbell,<= 138% of Poverty,2739
1563,2013,Campbell,<= 400% of Poverty,5090
1564,2013,Campbell,138% to 400% of Poverty,2351
1565,2013,Cannon,All Incomes,1874
1566,2013,Cannon,<= 200% of Poverty,1186
1567,2013,Cannon,<= 250% of Poverty,1405
1568,2013,Cannon,<= 138% of Poverty,846
1569,2013,Cannon,<= 400% of Poverty,1710
1570,2013,Cannon,138% to 400% of Poverty,864
1571,2013,Carroll,All Incomes,3550
1572,2013,Carroll,<= 200% of Poverty,2348
1573,2013,Carroll,<= 250% of Poverty,2725
1574,2013,Carroll,<= 138% of Poverty,1737
1575,2013,Carroll,<= 400% of Poverty,3261
1576,2013,Carroll,138% to 400% of Poverty,1524
1577,2013,Carter,All Incomes,8060
1578,2013,Carter,<= 200% of Poverty,5468
1579,2013,Carter,<= 250% of Poverty,6325
1580,2013,Carter,<= 138% of Poverty,4072
1581,2013,Carter,<= 400% of Poverty,7543
1582,2013,Carter,138% to 400% of Poverty,3471
1583,2013,Cheatham,All Incomes,5026
1584,2013,Cheatham,<= 200% of Poverty,2991
1585,2013,Cheatham,<= 250% of Poverty,3545
1586,2013,Cheatham,<= 138% of Poverty,2051
1587,2013,Cheatham,<= 400% of Poverty,4476
1588,2013,Cheatham,138% to 400% of Poverty,2425
1589,2013,Chester,All Incomes,2105
1590,2013,Chester,<= 200% of Poverty,1361
1591,2013,Chester,<= 250% of Poverty,1606
1592,2013,Chester,<= 138% of Poverty,975
1593,2013,Chester,<= 400% of Poverty,1934
1594,2013,Chester,138% to 400% of Poverty,959
1595,2013,Claiborne,All Incomes,4125
1596,2013,Claiborne,<= 200% of Poverty,2759
1597,2013,Claiborne,<= 250% of Poverty,3187
1598,2013,Claiborne,<= 138% of Poverty,2060
1599,2013,Claiborne,<= 400% of Poverty,3846
1600,2013,Claiborne,138% to 400% of Poverty,1786
1601,2013,Clay,All Incomes,1125
1602,2013,Clay,<= 200% of Poverty,788
1603,2013,Clay,<= 250% of Poverty,903
1604,2013,Clay,<= 138% of Poverty,604
1605,2013,Clay,<= 400% of Poverty,1058
1606,2013,Clay,138% to 400% of Poverty,454
1607,2013,Cocke,All Incomes,4930
1608,2013,Cocke,<= 200% of Poverty,3443
1609,2013,Cocke,<= 250% of Poverty,3923
1610,2013,Cocke,<= 138% of Poverty,2672
1611,2013,Cocke,<= 400% of Poverty,4622
1612,2013,Cocke,138% to 400% of Poverty,1950
1613,2013,Coffee,All Incomes,7361
1614,2013,Coffee,<= 200% of Poverty,4793
1615,2013,Coffee,<= 250% of Poverty,5508
1616,2013,Coffee,<= 138% of Poverty,3518
1617,2013,Coffee,<= 400% of Poverty,6742
1618,2013,Coffee,138% to 400% of Poverty,3224
1619,2013,Crockett,All Incomes,2388
1620,2013,Crockett,<= 200% of Poverty,1579
1621,2013,Crockett,<= 250% of Poverty,1840
1622,2013,Crockett,<= 138% of Poverty,1146
1623,2013,Crockett,<= 400% of Poverty,2223
1624,2013,Crockett,138% to 400% of Poverty,1077
1625,2013,Cumberland,All Incomes,7771
1626,2013,Cumberland,<= 200% of Poverty,5180
1627,2013,Cumberland,<= 250% of Poverty,6058
1628,2013,Cumberland,<= 138% of Poverty,3693
1629,2013,Cumberland,<= 400% of Poverty,7224
1630,2013,Cumberland,138% to 400% of Poverty,3531
1631,2013,Davidson,All Incomes,103675
1632,2013,Davidson,<= 200% of Poverty,66610
1633,2013,Davidson,<= 250% of Poverty,77487
1634,2013,Davidson,<= 138% of Poverty,47326
1635,2013,Davidson,<= 400% of Poverty,93625
1636,2013,Davidson,138% to 400% of Poverty,46299
1637,2013,Decatur,All Incomes,1615
1638,2013,Decatur,<= 200% of Poverty,1081
1639,2013,Decatur,<= 250% of Poverty,1245
1640,2013,Decatur,<= 138% of Poverty,818
1641,2013,Decatur,<= 400% of Poverty,1487
1642,2013,Decatur,138% to 400% of Poverty,669
1643,2013,DeKalb,All Incomes,3125
1644,2013,DeKalb,<= 200% of Poverty,2115
1645,2013,DeKalb,<= 250% of Poverty,2476
1646,2013,DeKalb,<= 138% of Poverty,1585
1647,2013,DeKalb,<= 400% of Poverty,2927
1648,2013,DeKalb,138% to 400% of Poverty,1342
1649,2013,Dickson,All Incomes,6899
1650,2013,Dickson,<= 200% of Poverty,4409
1651,2013,Dickson,<= 250% of Poverty,5159
1652,2013,Dickson,<= 138% of Poverty,3031
1653,2013,Dickson,<= 400% of Poverty,6275
1654,2013,Dickson,138% to 400% of Poverty,3244
1655,2013,Dyer,All Incomes,4429
1656,2013,Dyer,<= 200% of Poverty,2854
1657,2013,Dyer,<= 250% of Poverty,3327
1658,2013,Dyer,<= 138% of Poverty,2105
1659,2013,Dyer,<= 400% of Poverty,4064
1660,2013,Dyer,138% to 400% of Poverty,1959
1661,2013,Fayette,All Incomes,4588
1662,2013,Fayette,<= 200% of Poverty,2693
1663,2013,Fayette,<= 250% of Poverty,3207
1664,2013,Fayette,<= 138% of Poverty,1905
1665,2013,Fayette,<= 400% of Poverty,3983
1666,2013,Fayette,138% to 400% of Poverty,2078
1667,2013,Fentress,All Incomes,2612
1668,2013,Fentress,<= 200% of Poverty,1894
1669,2013,Fentress,<= 250% of Poverty,2158
1670,2013,Fentress,<= 138% of Poverty,1419
1671,2013,Fentress,<= 400% of Poverty,2469
1672,2013,Fentress,138% to 400% of Poverty,1050
1673,2013,Franklin,All Incomes,5010
1674,2013,Franklin,<= 200% of Poverty,3202
1675,2013,Franklin,<= 250% of Poverty,3777
1676,2013,Franklin,<= 138% of Poverty,2258
1677,2013,Franklin,<= 400% of Poverty,4567
1678,2013,Franklin,138% to 400% of Poverty,2309
1679,2013,Gibson,All Incomes,6315
1680,2013,Gibson,<= 200% of Poverty,4082
1681,2013,Gibson,<= 250% of Poverty,4750
1682,2013,Gibson,<= 138% of Poverty,2902
1683,2013,Gibson,<= 400% of Poverty,5789
1684,2013,Gibson,138% to 400% of Poverty,2887
1685,2013,Giles,All Incomes,3705
1686,2013,Giles,<= 200% of Poverty,2393
1687,2013,Giles,<= 250% of Poverty,2776
1688,2013,Giles,<= 138% of Poverty,1734
1689,2013,Giles,<= 400% of Poverty,3393
1690,2013,Giles,138% to 400% of Poverty,1659
1691,2013,Grainger,All Incomes,3410
1692,2013,Grainger,<= 200% of Poverty,2323
1693,2013,Grainger,<= 250% of Poverty,2688
1694,2013,Grainger,<= 138% of Poverty,1653
1695,2013,Grainger,<= 400% of Poverty,3170
1696,2013,Grainger,138% to 400% of Poverty,1517
1697,2013,Greene,All Incomes,9449
1698,2013,Greene,<= 200% of Poverty,6365
1699,2013,Greene,<= 250% of Poverty,7337
1700,2013,Greene,<= 138% of Poverty,4759
1701,2013,Greene,<= 400% of Poverty,8786
1702,2013,Greene,138% to 400% of Poverty,4027
1703,2013,Grundy,All Incomes,2014
1704,2013,Grundy,<= 200% of Poverty,1469
1705,2013,Grundy,<= 250% of Poverty,1655
1706,2013,Grundy,<= 138% of Poverty,1151
1707,2013,Grundy,<= 400% of Poverty,1898
1708,2013,Grundy,138% to 400% of Poverty,747
1709,2013,Hamblen,All Incomes,10443
1710,2013,Hamblen,<= 200% of Poverty,6976
1711,2013,Hamblen,<= 250% of Poverty,8073
1712,2013,Hamblen,<= 138% of Poverty,5178
1713,2013,Hamblen,<= 400% of Poverty,9639
1714,2013,Hamblen,138% to 400% of Poverty,4461
1715,2013,Hamilton,All Incomes,43973
1716,2013,Hamilton,<= 200% of Poverty,27187
1717,2013,Hamilton,<= 250% of Poverty,31859
1718,2013,Hamilton,<= 138% of Poverty,19546
1719,2013,Hamilton,<= 400% of Poverty,39360
1720,2013,Hamilton,138% to 400% of Poverty,19814
1721,2013,Hancock,All Incomes,902
1722,2013,Hancock,<= 200% of Poverty,688
1723,2013,Hancock,<= 250% of Poverty,769
1724,2013,Hancock,<= 138% of Poverty,561
1725,2013,Hancock,<= 400% of Poverty,866
1726,2013,Hancock,138% to 400% of Poverty,305
1727,2013,Hardeman,All Incomes,2843
1728,2013,Hardeman,<= 200% of Poverty,1951
1729,2013,Hardeman,<= 250% of Poverty,2232
1730,2013,Hardeman,<= 138% of Poverty,1478
1731,2013,Hardeman,<= 400% of Poverty,2659
1732,2013,Hardeman,138% to 400% of Poverty,1181
1733,2013,Hardin,All Incomes,3730
1734,2013,Hardin,<= 200% of Poverty,2576
1735,2013,Hardin,<= 250% of Poverty,2922
1736,2013,Hardin,<= 138% of Poverty,1903
1737,2013,Hardin,<= 400% of Poverty,3445
1738,2013,Hardin,138% to 400% of Poverty,1542
1739,2013,Hawkins,All Incomes,7058
1740,2013,Hawkins,<= 200% of Poverty,4663
1741,2013,Hawkins,<= 250% of Poverty,5472
1742,2013,Hawkins,<= 138% of Poverty,3426
1743,2013,Hawkins,<= 400% of Poverty,6501
1744,2013,Hawkins,138% to 400% of Poverty,3075
1745,2013,Haywood,All Incomes,2476
1746,2013,Haywood,<= 200% of Poverty,1714
1747,2013,Haywood,<= 250% of Poverty,1958
1748,2013,Haywood,<= 138% of Poverty,1236
1749,2013,Haywood,<= 400% of Poverty,2303
1750,2013,Haywood,138% to 400% of Poverty,1067
1751,2013,Henderson,All Incomes,3566
1752,2013,Henderson,<= 200% of Poverty,2304
1753,2013,Henderson,<= 250% of Poverty,2699
1754,2013,Henderson,<= 138% of Poverty,1654
1755,2013,Henderson,<= 400% of Poverty,3264
1756,2013,Henderson,138% to 400% of Poverty,1610
1757,2013,Henry,All Incomes,4373
1758,2013,Henry,<= 200% of Poverty,2872
1759,2013,Henry,<= 250% of Poverty,3341
1760,2013,Henry,<= 138% of Poverty,2028
1761,2013,Henry,<= 400% of Poverty,4022
1762,2013,Henry,138% to 400% of Poverty,1994
1763,2013,Hickman,All Incomes,3421
1764,2013,Hickman,<= 200% of Poverty,2316
1765,2013,Hickman,<= 250% of Poverty,2674
1766,2013,Hickman,<= 138% of Poverty,1618
1767,2013,Hickman,<= 400% of Poverty,3168
1768,2013,Hickman,138% to 400% of Poverty,1550
1769,2013,Houston,All Incomes,1158
1770,2013,Houston,<= 200% of Poverty,799
1771,2013,Houston,<= 250% of Poverty,913
1772,2013,Houston,<= 138% of Poverty,599
1773,2013,Houston,<= 400% of Poverty,1078
1774,2013,Houston,138% to 400% of Poverty,479
1775,2013,Humphreys,All Incomes,2455
1776,2013,Humphreys,<= 200% of Poverty,1565
1777,2013,Humphreys,<= 250% of Poverty,1832
1778,2013,Humphreys,<= 138% of Poverty,1129
1779,2013,Humphreys,<= 400% of Poverty,2229
1780,2013,Humphreys,138% to 400% of Poverty,1100
1781,2013,Jackson,All Incomes,1670
1782,2013,Jackson,<= 200% of Poverty,1165
1783,2013,Jackson,<= 250% of Poverty,1344
1784,2013,Jackson,<= 138% of Poverty,883
1785,2013,Jackson,<= 400% of Poverty,1575
1786,2013,Jackson,138% to 400% of Poverty,692
1787,2013,Jefferson,All Incomes,6891
1788,2013,Jefferson,<= 200% of Poverty,4542
1789,2013,Jefferson,<= 250% of Poverty,5287
1790,2013,Jefferson,<= 138% of Poverty,3279
1791,2013,Jefferson,<= 400% of Poverty,6323
1792,2013,Jefferson,138% to 400% of Poverty,3044
1793,2013,Johnson,All Incomes,2299
1794,2013,Johnson,<= 200% of Poverty,1595
1795,2013,Johnson,<= 250% of Poverty,1823
1796,2013,Johnson,<= 138% of Poverty,1260
1797,2013,Johnson,<= 400% of Poverty,2163
1798,2013,Johnson,138% to 400% of Poverty,903
1799,2013,Knox,All Incomes,51902
1800,2013,Knox,<= 200% of Poverty,31755
1801,2013,Knox,<= 250% of Poverty,37640
1802,2013,Knox,<= 138% of Poverty,22699
1803,2013,Knox,<= 400% of Poverty,46164
1804,2013,Knox,138% to 400% of Poverty,23465
1805,2013,Lake,All Incomes,655
1806,2013,Lake,<= 200% of Poverty,465
1807,2013,Lake,<= 250% of Poverty,530
1808,2013,Lake,<= 138% of Poverty,357
1809,2013,Lake,<= 400% of Poverty,614
1810,2013,Lake,138% to 400% of Poverty,257
1811,2013,Lauderdale,All Incomes,3290
1812,2013,Lauderdale,<= 200% of Poverty,2313
1813,2013,Lauderdale,<= 250% of Poverty,2632
1814,2013,Lauderdale,<= 138% of Poverty,1768
1815,2013,Lauderdale,<= 400% of Poverty,3074
1816,2013,Lauderdale,138% to 400% of Poverty,1306
1817,2013,Lawrence,All Incomes,5717
1818,2013,Lawrence,<= 200% of Poverty,3766
1819,2013,Lawrence,<= 250% of Poverty,4394
1820,2013,Lawrence,<= 138% of Poverty,2729
1821,2013,Lawrence,<= 400% of Poverty,5322
1822,2013,Lawrence,138% to 400% of Poverty,2593
1823,2013,Lewis,All Incomes,1906
1824,2013,Lewis,<= 200% of Poverty,1286
1825,2013,Lewis,<= 250% of Poverty,1491
1826,2013,Lewis,<= 138% of Poverty,956
1827,2013,Lewis,<= 400% of Poverty,1776
1828,2013,Lewis,138% to 400% of Poverty,820
1829,2013,Lincoln,All Incomes,4365
1830,2013,Lincoln,<= 200% of Poverty,2710
1831,2013,Lincoln,<= 250% of Poverty,3222
1832,2013,Lincoln,<= 138% of Poverty,1859
1833,2013,Lincoln,<= 400% of Poverty,3937
1834,2013,Lincoln,138% to 400% of Poverty,2078
1835,2013,Loudon,All Incomes,6813
1836,2013,Loudon,<= 200% of Poverty,4210
1837,2013,Loudon,<= 250% of Poverty,4968
1838,2013,Loudon,<= 138% of Poverty,2935
1839,2013,Loudon,<= 400% of Poverty,6145
1840,2013,Loudon,138% to 400% of Poverty,3210
1841,2013,McMinn,All Incomes,7158
